Node_Profile_ID,Analyzed_Txs_Sequence,Actual_Hidden_Behavior,Standard_Suspicion_Score,AI_Suspicion_Score,AI_Final_Decision,Machine_Learning_Outcome
N-0785,20,Honest,0.4802,0.5595,Malicious,False Positive (False Alarm)
N-0786,20,Malicious,0.4906,0.7923,Malicious,True Positive (Hit)
N-0787,20,Honest,0.6952,0.1016,Honest,True Negative (Safe)
N-0788,20,Honest,0.0,0.3011,Honest,True Negative (Safe)
N-0789,20,Honest,0.6972,0.0,Honest,True Negative (Safe)
N-0790,20,Honest,0.6176,0.3854,Honest,True Negative (Safe)
N-0791,20,Honest,0.0,0.0627,Honest,True Negative (Safe)
N-0792,20,Honest,0.351,0.2141,Honest,True Negative (Safe)
N-0793,20,Honest,0.2642,0.0906,Honest,True Negative (Safe)
N-0794,20,Honest,0.8679,0.2285,Honest,True Negative (Safe)
N-0795,20,Honest,0.2762,0.2418,Honest,True Negative (Safe)
N-0796,20,Honest,0.5843,0.2603,Honest,True Negative (Safe)
N-0797,20,Honest,0.3986,0.12,Honest,True Negative (Safe)
N-0798,20,Honest,0.2845,0.1304,Honest,True Negative (Safe)
N-0799,20,Honest,0.5347,0.0512,Honest,True Negative (Safe)
N-0800,20,Honest,0.5483,0.5326,Malicious,False Positive (False Alarm)
N-0801,20,Honest,0.5314,0.1761,Honest,True Negative (Safe)
N-0802,20,Honest,0.1255,0.5656,Malicious,False Positive (False Alarm)
N-0803,20,Honest,0.1575,0.4197,Honest,True Negative (Safe)
N-0804,20,Honest,0.6096,0.2026,Honest,True Negative (Safe)
N-0805,20,Malicious,0.4843,0.3461,Honest,False Negative (Missed)
N-0806,20,Malicious,0.6325,0.8864,Malicious,True Positive (Hit)
N-0807,20,Honest,0.1777,0.2188,Honest,True Negative (Safe)
N-0808,20,Malicious,0.5595,0.8786,Malicious,True Positive (Hit)
N-0809,20,Honest,0.451,0.0,Honest,True Negative (Safe)
N-0810,20,Malicious,0.4175,0.7994,Malicious,True Positive (Hit)
N-0811,20,Honest,0.6604,0.1265,Honest,True Negative (Safe)
N-0812,20,Malicious,1.0,0.3332,Honest,False Negative (Missed)
N-0813,20,Honest,0.3091,0.2334,Honest,True Negative (Safe)
N-0814,20,Honest,0.3998,0.0036,Honest,True Negative (Safe)
N-0815,20,Honest,0.562,0.3242,Honest,True Negative (Safe)
N-0816,20,Honest,0.462,0.3164,Honest,True Negative (Safe)
N-0817,20,Honest,0.3441,0.0,Honest,True Negative (Safe)
N-0818,20,Honest,0.2708,0.2814,Honest,True Negative (Safe)
N-0819,20,Malicious,0.5907,0.7591,Malicious,True Positive (Hit)
N-0820,20,Honest,0.5872,0.1338,Honest,True Negative (Safe)
N-0821,20,Malicious,0.5567,0.8759,Malicious,True Positive (Hit)
N-0822,20,Honest,0.4288,0.0013,Honest,True Negative (Safe)
N-0823,20,Honest,0.2096,0.4162,Honest,True Negative (Safe)
N-0824,20,Honest,0.7981,0.4851,Honest,True Negative (Safe)
N-0825,20,Honest,0.508,0.0094,Honest,True Negative (Safe)
N-0826,20,Honest,0.4484,0.5625,Malicious,False Positive (False Alarm)
N-0827,20,Honest,0.6046,0.2085,Honest,True Negative (Safe)
N-0828,20,Malicious,0.7072,0.4707,Honest,False Negative (Missed)
N-0829,20,Honest,0.2761,0.0332,Honest,True Negative (Safe)
N-0830,20,Honest,0.5674,0.3928,Honest,True Negative (Safe)
N-0831,20,Honest,0.4115,0.0754,Honest,True Negative (Safe)
N-0832,20,Honest,0.4451,0.1527,Honest,True Negative (Safe)
N-0833,20,Honest,0.251,0.3178,Honest,True Negative (Safe)
N-0834,20,Malicious,0.3605,0.4054,Honest,False Negative (Missed)
N-0835,20,Malicious,0.214,0.3973,Honest,False Negative (Missed)
N-0836,20,Honest,0.5119,0.2801,Honest,True Negative (Safe)
N-0837,20,Honest,0.4751,0.3675,Honest,True Negative (Safe)
N-0838,20,Honest,0.748,0.1315,Honest,True Negative (Safe)
N-0839,20,Honest,0.5516,0.0,Honest,True Negative (Safe)
N-0840,20,Honest,0.7947,0.001,Honest,True Negative (Safe)
N-0841,20,Honest,0.2725,0.1305,Honest,True Negative (Safe)
N-0842,20,Honest,0.0684,0.2565,Honest,True Negative (Safe)
N-0843,20,Honest,0.5035,0.2121,Honest,True Negative (Safe)
N-0844,20,Malicious,0.1649,1.0,Malicious,True Positive (Hit)
N-0845,20,Honest,0.5873,0.7768,Malicious,False Positive (False Alarm)
N-0846,20,Honest,0.2487,0.4416,Honest,True Negative (Safe)
N-0847,20,Honest,0.6448,0.1919,Honest,True Negative (Safe)
N-0848,20,Honest,0.8028,0.1689,Honest,True Negative (Safe)
N-0849,20,Honest,0.3598,0.0,Honest,True Negative (Safe)
N-0850,20,Malicious,0.6523,0.4584,Honest,False Negative (Missed)
N-0851,20,Malicious,0.4123,0.5242,Malicious,True Positive (Hit)
N-0852,20,Honest,0.3584,0.3388,Honest,True Negative (Safe)
N-0853,20,Honest,0.4528,0.3919,Honest,True Negative (Safe)
N-0854,20,Malicious,0.8664,0.6689,Malicious,True Positive (Hit)
N-0855,20,Malicious,0.4304,0.9607,Malicious,True Positive (Hit)
N-0856,20,Malicious,0.8093,0.9129,Malicious,True Positive (Hit)
N-0857,20,Honest,0.212,0.3345,Honest,True Negative (Safe)
N-0858,20,Malicious,0.5774,0.9816,Malicious,True Positive (Hit)
N-0859,20,Honest,0.3068,0.0,Honest,True Negative (Safe)
N-0860,20,Honest,0.6226,0.0,Honest,True Negative (Safe)
N-0861,20,Honest,0.2671,0.0454,Honest,True Negative (Safe)
N-0862,20,Honest,0.1925,0.1002,Honest,True Negative (Safe)
N-0863,20,Honest,0.7543,0.4141,Honest,True Negative (Safe)
N-0864,20,Honest,0.3871,0.4767,Honest,True Negative (Safe)
N-0865,20,Honest,0.1844,0.0103,Honest,True Negative (Safe)
N-0866,20,Honest,0.6659,0.3659,Honest,True Negative (Safe)
N-0867,20,Honest,0.3349,0.0229,Honest,True Negative (Safe)
N-0868,20,Malicious,0.9149,0.3716,Honest,False Negative (Missed)
N-0869,20,Malicious,0.4004,0.8003,Malicious,True Positive (Hit)
N-0870,20,Honest,0.9005,0.3266,Honest,True Negative (Safe)
N-0871,20,Honest,0.5701,0.1361,Honest,True Negative (Safe)
N-0872,20,Malicious,0.6921,0.7732,Malicious,True Positive (Hit)
N-0873,20,Honest,0.0529,0.4086,Honest,True Negative (Safe)
N-0874,20,Honest,0.6926,0.4107,Honest,True Negative (Safe)
N-0875,20,Honest,0.4583,0.0588,Honest,True Negative (Safe)
N-0876,20,Honest,0.0,0.2814,Honest,True Negative (Safe)
N-0877,20,Malicious,0.8205,0.969,Malicious,True Positive (Hit)
N-0878,20,Honest,0.654,0.2352,Honest,True Negative (Safe)
N-0879,20,Malicious,0.8219,0.9533,Malicious,True Positive (Hit)
N-0880,20,Malicious,0.4443,0.8989,Malicious,True Positive (Hit)
N-0881,20,Malicious,0.416,0.8688,Malicious,True Positive (Hit)
N-0882,20,Honest,0.1252,0.0056,Honest,True Negative (Safe)
N-0883,20,Honest,0.7146,0.4375,Honest,True Negative (Safe)
N-0884,20,Malicious,0.7084,0.7694,Malicious,True Positive (Hit)
N-0885,20,Honest,0.0,0.235,Honest,True Negative (Safe)
N-0886,20,Malicious,0.6635,0.6324,Malicious,True Positive (Hit)
N-0887,20,Honest,0.2719,0.5389,Malicious,False Positive (False Alarm)
N-0888,20,Malicious,0.5349,0.8501,Malicious,True Positive (Hit)
N-0889,20,Honest,0.6435,0.0497,Honest,True Negative (Safe)
N-0890,20,Honest,0.4983,0.5139,Malicious,False Positive (False Alarm)
N-0891,20,Honest,0.9048,0.258,Honest,True Negative (Safe)
N-0892,20,Honest,0.3905,0.3038,Honest,True Negative (Safe)
N-0893,20,Honest,0.5109,0.5274,Malicious,False Positive (False Alarm)
N-0894,20,Honest,0.2009,0.194,Honest,True Negative (Safe)
N-0895,20,Honest,0.1707,0.0476,Honest,True Negative (Safe)
N-0896,20,Honest,0.5441,0.412,Honest,True Negative (Safe)
N-0897,20,Honest,0.2877,0.4044,Honest,True Negative (Safe)
N-0898,20,Honest,0.7279,0.6369,Malicious,False Positive (False Alarm)
N-0899,20,Honest,0.4674,0.122,Honest,True Negative (Safe)
N-0900,20,Honest,0.1994,0.0296,Honest,True Negative (Safe)
N-0901,20,Honest,0.7624,0.0,Honest,True Negative (Safe)
N-0902,20,Honest,0.7544,0.0763,Honest,True Negative (Safe)
N-0903,20,Honest,0.2787,0.2197,Honest,True Negative (Safe)
N-0904,20,Malicious,0.3741,0.955,Malicious,True Positive (Hit)
N-0905,20,Malicious,1.0,0.6054,Malicious,True Positive (Hit)
N-0906,20,Honest,0.3419,0.2173,Honest,True Negative (Safe)
N-0907,20,Honest,0.5853,0.2193,Honest,True Negative (Safe)
N-0908,20,Honest,0.7968,0.4793,Honest,True Negative (Safe)
N-0909,20,Honest,0.1536,0.3542,Honest,True Negative (Safe)
N-0910,20,Honest,0.8301,0.151,Honest,True Negative (Safe)
N-0911,20,Honest,0.3764,0.1444,Honest,True Negative (Safe)
N-0912,20,Honest,0.3232,0.0,Honest,True Negative (Safe)
N-0913,20,Malicious,0.2179,0.767,Malicious,True Positive (Hit)
N-0914,20,Honest,0.8284,0.1273,Honest,True Negative (Safe)
N-0915,20,Honest,0.2893,0.5903,Malicious,False Positive (False Alarm)
N-0916,20,Malicious,0.2729,0.3845,Honest,False Negative (Missed)
N-0917,20,Honest,0.2429,0.1174,Honest,True Negative (Safe)
N-0918,20,Honest,0.0131,0.2244,Honest,True Negative (Safe)
N-0919,20,Honest,0.6871,0.0,Honest,True Negative (Safe)
N-0920,20,Malicious,0.5719,0.8371,Malicious,True Positive (Hit)
N-0921,20,Malicious,0.5292,0.7909,Malicious,True Positive (Hit)
N-0922,20,Malicious,0.5993,0.5712,Malicious,True Positive (Hit)
N-0923,20,Honest,0.8246,0.4996,Honest,True Negative (Safe)
N-0924,20,Honest,0.7475,0.4527,Honest,True Negative (Safe)
N-0925,20,Honest,0.0563,0.4352,Honest,True Negative (Safe)
N-0926,20,Honest,0.6139,0.0,Honest,True Negative (Safe)
N-0927,20,Honest,0.3963,0.3054,Honest,True Negative (Safe)
N-0928,20,Malicious,0.9661,0.9094,Malicious,True Positive (Hit)
N-0929,20,Honest,0.2339,0.5891,Malicious,False Positive (False Alarm)
N-0930,20,Honest,0.4609,0.1988,Honest,True Negative (Safe)
N-0931,20,Honest,0.3682,0.0,Honest,True Negative (Safe)
N-0932,20,Honest,0.4226,0.3495,Honest,True Negative (Safe)
N-0933,20,Honest,0.3537,0.3341,Honest,True Negative (Safe)
N-0934,20,Malicious,0.3339,0.719,Malicious,True Positive (Hit)
N-0935,20,Malicious,0.6291,0.7917,Malicious,True Positive (Hit)
N-0936,20,Honest,0.0486,0.1622,Honest,True Negative (Safe)
N-0937,20,Honest,0.8694,0.1515,Honest,True Negative (Safe)
N-0938,20,Honest,0.454,0.2326,Honest,True Negative (Safe)
N-0939,20,Honest,0.8421,0.5081,Malicious,False Positive (False Alarm)
N-0940,20,Malicious,0.7519,0.5359,Malicious,True Positive (Hit)
N-0941,20,Honest,0.5398,0.3636,Honest,True Negative (Safe)
N-0942,20,Honest,0.2753,0.0759,Honest,True Negative (Safe)
N-0943,20,Honest,0.8763,0.1898,Honest,True Negative (Safe)
N-0944,20,Honest,0.8537,0.4494,Honest,True Negative (Safe)
N-0945,20,Honest,0.552,0.3405,Honest,True Negative (Safe)
N-0946,20,Honest,0.0999,0.2914,Honest,True Negative (Safe)
N-0947,20,Honest,0.8043,0.3863,Honest,True Negative (Safe)
N-0948,20,Honest,0.4886,0.5924,Malicious,False Positive (False Alarm)
N-0949,20,Malicious,0.5037,0.6137,Malicious,True Positive (Hit)
N-0950,20,Honest,0.4885,0.4033,Honest,True Negative (Safe)
N-0951,20,Honest,0.0206,0.307,Honest,True Negative (Safe)
N-0952,20,Honest,0.6526,0.1961,Honest,True Negative (Safe)
N-0953,20,Honest,0.7267,0.3782,Honest,True Negative (Safe)
N-0954,20,Malicious,1.0,0.5849,Malicious,True Positive (Hit)
N-0955,20,Honest,0.6577,0.0465,Honest,True Negative (Safe)
N-0956,20,Honest,0.0462,0.0,Honest,True Negative (Safe)
N-0957,20,Honest,0.5846,0.2868,Honest,True Negative (Safe)
N-0958,20,Honest,0.3302,0.0,Honest,True Negative (Safe)
N-0959,20,Honest,0.2774,0.2508,Honest,True Negative (Safe)
N-0960,20,Malicious,0.7483,0.7464,Malicious,True Positive (Hit)
N-0961,20,Honest,0.513,0.1748,Honest,True Negative (Safe)
N-0962,20,Honest,0.8873,0.0464,Honest,True Negative (Safe)
N-0963,20,Honest,0.2752,0.1515,Honest,True Negative (Safe)
N-0964,20,Honest,0.5857,0.0422,Honest,True Negative (Safe)
N-0965,20,Honest,0.4839,0.283,Honest,True Negative (Safe)
N-0966,20,Malicious,0.3764,0.8226,Malicious,True Positive (Hit)
N-0967,20,Honest,0.198,0.0266,Honest,True Negative (Safe)
N-0968,20,Honest,0.4749,0.0,Honest,True Negative (Safe)
N-0969,20,Malicious,0.0138,0.8672,Malicious,True Positive (Hit)
N-0970,20,Honest,0.7122,0.1566,Honest,True Negative (Safe)
N-0971,20,Honest,0.283,0.4511,Honest,True Negative (Safe)
N-0972,20,Malicious,0.2636,0.4501,Honest,False Negative (Missed)
N-0973,20,Honest,0.6269,0.2518,Honest,True Negative (Safe)
N-0974,20,Honest,0.7162,0.0,Honest,True Negative (Safe)
N-0975,20,Honest,0.0998,0.2529,Honest,True Negative (Safe)
N-0976,20,Honest,0.5544,0.4194,Honest,True Negative (Safe)
N-0977,20,Honest,0.4937,0.2829,Honest,True Negative (Safe)
N-0978,20,Honest,0.3526,0.5682,Malicious,False Positive (False Alarm)
N-0979,20,Honest,0.1742,0.3218,Honest,True Negative (Safe)
N-0980,20,Honest,0.203,0.357,Honest,True Negative (Safe)
N-0981,20,Malicious,0.2907,0.9136,Malicious,True Positive (Hit)
N-0982,20,Honest,0.478,0.5989,Malicious,False Positive (False Alarm)
N-0983,20,Honest,0.3797,0.335,Honest,True Negative (Safe)
N-0984,20,Malicious,0.3551,0.6867,Malicious,True Positive (Hit)
N-0985,20,Honest,0.4764,0.0,Honest,True Negative (Safe)
N-0986,20,Malicious,0.1956,0.882,Malicious,True Positive (Hit)
N-0987,20,Honest,0.4135,0.1314,Honest,True Negative (Safe)
N-0988,20,Honest,0.2658,0.1103,Honest,True Negative (Safe)
N-0989,20,Malicious,0.5781,0.8479,Malicious,True Positive (Hit)
N-0990,20,Honest,0.0,0.5326,Malicious,False Positive (False Alarm)
N-0991,20,Malicious,0.8854,0.2373,Honest,False Negative (Missed)
N-0992,20,Honest,0.7215,0.461,Honest,True Negative (Safe)
N-0993,20,Malicious,0.5501,0.4646,Honest,False Negative (Missed)
N-0994,20,Honest,0.7038,0.2018,Honest,True Negative (Safe)
N-0995,20,Malicious,0.6872,1.0,Malicious,True Positive (Hit)
N-0996,20,Malicious,0.613,0.5483,Malicious,True Positive (Hit)
N-0997,20,Honest,0.3661,0.0921,Honest,True Negative (Safe)
N-0998,20,Honest,0.5584,0.0888,Honest,True Negative (Safe)
N-0999,20,Honest,0.3318,0.0,Honest,True Negative (Safe)
N-1000,20,Malicious,0.517,0.7889,Malicious,True Positive (Hit)
